owner_id,pg_name,city,address,sharing_type,bed_available,total_room,gender,furnish_type,ameneties,security_deposit,rent,image
53,Ishtika Agastya 107,bengaluru,begalakunte,2,0,2,any,semi_furnished,['Security'],12880,12880,
54,Gandhi House S F,gurugram,dlf city phase 4,3,0,1,girls,fully_furnished,[],4500,19500,
55,Shri kalleshwar Apartment_14,pune,warje,1,0,1,any,unfurnished,[],16500,16500,
56,Srinivas Nilayam Nest-403,bengaluru,electronic city,1,0,1,any,fully_furnished,"['Fridge', 'Tv']",20000,20000,
57,Khanna Nest,mumbai,kurla west,3,0,3,any,semi_furnished,"['Gym', 'Power Backup', 'Security']",30000,30000,
58,Pintu Agarwal Nest -201,bengaluru,hulimavu,1,0,1,boys,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",11500,11500,
59,Imtiyaz Nest_302,hyderabad,tolichowki,2,0,2,any,unfurnished,['Security'],11500,11500,
60,001- BM Lotus Apartments,bengaluru,doddakannalli,2,2,0,boys,fully_furnished,[],6500,12100,
61,D 703  Spring Bloom  BT Kawade Road,pune,ghorpadi,3,1,1,girls,fully_furnished,['Security'],6650,17200,
62,SP Recidency-203,bengaluru,kachohalli,2,0,2,any,semi_furnished,[],6000,6000,
63,Liyakat Mohameddin Ansari,mumbai,andheri east,1,1,0,girls,fully_furnished,[],13000,22000,
64,Gulmohar Symphony 503,pune,wadgaon sheri,3,1,1,boys,fully_furnished,"['Security', 'Washing Machine', 'Fridge', 'Tv']",8250,17450,
65,Siva Castle,bengaluru,arakere,7,1,2,girls,fully_furnished,[],6000,18000,
66,HelloWorld Tranquil,bengaluru,hsr layout,2,0,2,any,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",25000,25000,
67,Kavita Rani Goswami NEST 143,newdelhi,zamrudpur,4,0,2,any,fully_furnished,[],9900,19800,
68,TRISHUL NEST TF 301,bengaluru,koramangala,2,2,1,girls,fully_furnished,[],8500,8500,
69,shreepal  nagar D wing F 17,mumbai,borivali west,2,2,0,girls,fully_furnished,"['Power Backup', 'Security']",8500,16620,
70,Nehru 1 BHk,indore,nehru nagar,1,0,1,any,unfurnished,[],9000,9000,
71,Adarshmay Apartment_9,pune,lohegaon,1,0,1,any,fully_furnished,[],8000,8000,
72,Manzil Classic _601   ,hyderabad,puppal guda,2,0,2,any,semi_furnished,[],11500,11500,
73,Gaurav Nest 70,noida,sector 62,2,0,1,girls,fully_furnished,"['Swimming Pool', 'Power Backup', 'Security']",5250,13700,
74,K R Sampath_103,bengaluru,devarachikannahalli,1,0,1,any,semi_furnished,[],8000,8000,
75,2BHK (202) IN Sree Nivas,hyderabad,hafizpet,1,1,0,boys,fully_furnished,[],6600,11750,
76,DSR Green Vista,bengaluru,whitefield,1,1,0,girls,fully_furnished,[],8000,16000,
77,Mishra Nest.,gurugram,sector 39,3,0,3,any,semi_furnished,[],12666,12666,
78,Siddhanta Niketan,indore,bhawrasla,1,0,1,any,unfurnished,[],6500,6500,
79,BANUMATHY R 01,chennai,adambakkam,1,0,1,any,unfurnished,[],16500,16500,
80,Lapis Iazuli,pune,koregaon park,2,0,2,any,fully_furnished,"['Swimming Pool', 'AC', 'Tv']",21500,21500,
81,Jain Nest,indore,mahalxmi nagar,2,0,2,girls,unfurnished,[],7500,7500,
82,"Santosh Nest, # 07",bengaluru,Kacharakanahalli,1,1,1,any,unfurnished,[],8500,8500,
83,Manjari Nest 78,noida,sector 78,1,0,1,boys,fully_furnished,"['Power Backup', 'Security']",6000,10000,
84,Pinnacle D dreams 804,indore,nipania,4,0,4,any,fully_furnished,['Swimming Pool'],6250,6250,
85,Shiva Krupa bendas Residency,bengaluru,singasandra,1,0,1,any,semi_furnished,[],15000,15000,
86,Lite House ,gurugram,sector 62,2,0,2,any,semi_furnished,['Security'],32500,32500,
87,"M3M Marlin , 3  BHK Semi Furnished",gurugram,sector 67,3,0,3,any,semi_furnished,"['Swimming Pool', 'Gym']",33000,33000,
88,"J-143, NH 207 Boodigere",bangalore,,4,4,2,any,fully_furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security', 'Fridge']",4500,9000,
89,KUMARAN HOUSE C1,chennai,madipakkam,4,0,2,boys,fully_furnished,"['AC', 'Security', 'Washing Machine', 'Fridge', 'Tv']",7150,14300,
90,Rajbhawan Nest-302,bengaluru,jp nagar phase 2,3,0,3,any,semi_furnished,[],16000,16000,
91,AADHIYA ANBU NEST,chennai,velachery,2,0,2,any,semi_furnished,[],6850,6850,
92,V N Residency  F_F101,bengaluru,devarachikannahalli,4,0,2,any,semi_furnished,[],5250,10500,
93,Madhu bhavan Nest_403,bengaluru,gulimangala,1,0,1,any,semi_furnished,[],11000,11000,
94,HelloWorld Harmony,mumbai,santacruz east,2,0,1,any,fully_furnished,"['AC', 'Power Backup', 'Washing Machine', 'Fridge', 'Tv']",15000,30000,
95,Swaradhya Heights Apartment_402,pune,wagholi,1,0,1,any,semi_furnished,['Security'],12700,12700,
96,Prashant House Nipania,indore,nipania,2,0,2,any,unfurnished,[],4000,4000,
97,Sumana Nest-102,bengaluru,nagadevanahalli,2,0,1,any,semi_furnished,[],4500,9000,
98,Krishna Nest 106,bengaluru,koramangala,1,0,1,any,semi_furnished,[],15000,15000,
99,B-102 ARK Serene County,bengaluru,channasandra whitefield,2,0,1,boys,fully_furnished,[],5000,10000,
100,GNR HEIGHTS- 502  ,bengaluru,ejipura,1,0,1,boys,semi_furnished,[],9000,9200,
101,Mohammed arif ulla property,bengaluru,hbr layout,2,0,1,any,semi_furnished,[],5700,11400,
102,Shiva Krupa bendas Residency,bengaluru,singasandra,2,0,2,any,semi_furnished,[],15000,15000,
103,Uma Maheshwar Rao,hyderabad,vanasthalipuram,2,0,2,any,semi_furnished,[],5500,5500,
104,Malpani Creeza_A706,pune,punawale,2,0,2,any,unfurnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",12500,12500,
105,3 BHK Semi Furnished,gurugram,sushant lok phase 1,3,0,3,any,semi_furnished,[],20000,20000,
106,Rehmat Tower_101,mumbai,santacruz east,2,0,2,any,fully_furnished,"['AC', 'Power Backup', 'Security', 'Washing Machine', 'Fridge']",40000,40000,
107,RS  COMFORT NEST-202,bengaluru,mahadevapura,1,0,1,any,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",25000,25000,
108,Sowparnika Skanda apartment,bengaluru,krishnarajapura,1,1,1,boys,fully_furnished,['Security'],10600,10600,
109,Vandana NEST 8,newdelhi,ramesh nagar,3,0,1,boys,fully_furnished,"['Gym', 'AC', 'Security', 'Washing Machine', 'Fridge']",7500,22500,
110,Matrapitra kripa 02,indore,ambikapuri main,2,0,2,any,unfurnished,[],5000,5000,
111,MD Nest-S03,bengaluru,hal layout,2,0,2,any,semi_furnished,[],8500,8500,
112,HelloWorld Elements,pune,hinjawadi,2,0,1,any,fully_furnished,"['AC', 'Power Backup', 'Washing Machine', 'Fridge', 'Tv']",8000,16000,
113,SR Nest 501,bengaluru,btm layout stage 1,2,0,1,boys,semi_furnished,[],6350,12700,
114,Earth Nest,mumbai,goregaon west,6,1,0,girls,fully_furnished,"['AC', 'Power Backup']",16350,20000,
115,Paras Tierea Society,noida,sector 137,1,0,1,girls,fully_furnished,"['Swimming Pool', 'AC', 'Security', 'Tv']",17700,17700,
116,2BHK In Afreen Nest,hyderabad,bapu nagar,2,2,0,boys,fully_furnished,['Security'],5000,10000,
117,Bawa Nest Delhi,newdelhi,saket,2,2,0,boys,semi_furnished,['Security'],8150,16150,
118,Rajbhawan Nest-101,bengaluru,jp nagar phase 2,2,0,2,any,semi_furnished,[],19000,19000,
119,Goyal villa,indore,nanda nagar,1,0,1,any,semi_furnished,[],9000,9000,
120,Akshay Residency _401,pune,punawale,2,0,2,any,unfurnished,"['Power Backup', 'Security']",9500,9500,
121,Adarshmay Apartment_15,pune,lohegaon,1,0,1,any,fully_furnished,[],8000,8000,
122,Greens Apartment,bengaluru,doddanekundi,2,0,1,boys,fully_furnished,"['Swimming Pool', 'Power Backup', 'Security']",8100,16200,
123,4BHK (401) In SINDHU NEST,hyderabad,madhapur,2,0,1,boys,fully_furnished,[],4250,14000,
124,MOHAMMED NEST 102,hyderabad,tolichowki,5,1,2,boys,fully_furnished,"['Fridge', 'Tv']",4000,9000,
125,ASHOK MEADOWS_304,pune,hinjawadi,2,0,2,girls,fully_furnished,"['Swimming Pool', 'Gym', 'AC', 'Power Backup', 'Security', 'Washing Machine', 'Fridge']",16000,16000,
126,Venus Mansion G1,bengaluru,btm layout stage 4,2,0,2,any,semi_furnished,[],12500,12500,
127,Aashiana Apartments,bengaluru,jp nagar phase 1,5,2,1,girls,fully_furnished,[],6000,10000,
128,Swaraj Sadan Apartment_102,pune,ghorpadi,1,1,0,boys,semi_furnished,[],5650,11150,
129,Narayana Nest 107,bengaluru,nagarbhavi stage 2,1,0,1,any,semi_furnished,[],8250,8250,
130,Pramod studios,indore,pardesipura,1,0,1,any,semi_furnished,[],7500,7500,
131,LLOYD Nest,mumbai,ville parle west,3,1,1,boys,fully_furnished,"['AC', 'Washing Machine', 'Fridge', 'Tv']",17450,35000,
132,CASA FELIZ _ C 902,pune,magarpatta,3,3,0,boys,fully_furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security', 'Washing Machine', 'Fridge', 'Tv']",9500,20250,
133,Trifecta Esplanade Apartments,bengaluru,krishnarajapura,3,0,3,any,semi_furnished,"['Washing Machine', 'Fridge']",5500,5500,
134,"Skyline Sterling Apartment, A-402 Basheerbagh, Hyderabad.",hyderabad,basheer bagh,2,2,0,boys,fully_furnished,"['Security', 'Washing Machine', 'Fridge']",7000,14000,
135,My Nivas Nest-,bengaluru,doddathoguru,1,0,1,girls,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",16000,16000,
136,1bhk 54 opp Sayaji,indore,scheme no 54,1,0,1,any,semi_furnished,[],13000,13000,
137,Gupta nest,gurugram,south city 2,6,0,3,any,fully_furnished,"['Washing Machine', 'Tv']",7500,15000,
138,Kayzad Nest#10,mumbai,sakinaka,2,0,1,girls,fully_furnished,['Security'],15000,31600,
139,3001 tower 22 Blue Ridge,pune,hinjawadi,6,0,3,boys,fully_furnished,['Security'],7100,11950,
140,Mahalakshmi Nest,bengaluru,koramangala,2,0,1,boys,fully_furnished,[],2000,26500,
141,04-Ayesha NEST,bengaluru,btm layout stage 2,1,1,0,boys,fully_furnished,[],6650,13700,
142,Pradeep nest 02,bengaluru,vaddarahalli,1,0,1,any,unfurnished,[],6050,6050,
143,Jaysal Nest,bengaluru,ganga nagar,1,1,0,boys,fully_furnished,['Security'],7150,14100,
144,A 603 Sundar Akash,pune,hadapsar,3,1,1,girls,fully_furnished,['Security'],6500,13500,
145,Srinivas Nilayam Nest-201,bengaluru,electronic city,1,0,1,any,fully_furnished,"['Fridge', 'Tv']",20000,20000,
146,ZOHEB ISLAM SHAIKH Nest_ 01 C,pune,viman nagar,2,0,1,any,semi_furnished,"['Washing Machine', 'Fridge']",14000,28000,
147,Balanathan Nest,chennai,velachery,3,1,1,boys,fully_furnished,[],7050,14000,
148,Lok Everest Chs,mumbai,mulund west,2,0,2,any,semi_furnished,"['Power Backup', 'Security']",21750,21750,
149,Danaekaran Nest ,chennai,ottiambakkam,1,0,1,boys,unfurnished,[],10000,10000,
150,Moghul garden co ophousing society_17,pune,koregaon park,4,0,4,any,fully_furnished,"['Security', 'Washing Machine', 'Fridge', 'Tv']",10000,10000,
151,2 BHK Fully-Furnished in Sai Datta Apartment Baner For any or Bachalors,pune,baner gaon,2,0,2,any,fully_furnished,[],16000,16000,
152,Sri Sai residency Nest-GF 2,bengaluru,hulimavu,1,0,1,any,semi_furnished,[],16000,16000,
153,Veena Serenity _C/702 ,mumbai,kurla east,2,0,2,any,semi_furnished,"['Swimming Pool', 'Power Backup', 'Security']",22500,22500,
154,Legacy Avenue_101,pune,wakad,1,0,1,any,semi_furnished,['Security'],20000,20000,
155,Dubey Nest#1,mumbai,jogeshwari east,4,0,1,boys,fully_furnished,"['Power Backup', 'Security', 'Washing Machine', 'Fridge']",8350,35000,
156,Matrapitra kripa 02,indore,ambikapuri main,2,0,2,any,unfurnished,[],5000,5000,
157,Deshbandhu Apartments,newdelhi,delhi cantonment residential area,2,0,2,girls,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",14000,14000,
158,Srinivas Nilayam Nest-202,bengaluru,electronic city,1,0,1,any,fully_furnished,"['Fridge', 'Tv']",20000,20000,
159,BOWZIA BANU HOUSE,chennai,porur,1,0,1,any,unfurnished,[],6750,6750,
160,Fully furnished ,hyderabad,banjara hills,3,0,3,any,fully_furnished,[],21000,21000,
161,Vineet nest,bengaluru,singena agrahara,6,0,3,any,fully_furnished,"['Swimming Pool', 'Gym', 'Security', 'Washing Machine', 'Fridge', 'Tv']",3850,7700,
162,PUTTU NEST DELHI,newdelhi,anupam garden,3,1,1,boys,fully_furnished,[],8200,15000,
163,Gowda Nest 1,bengaluru,hebbal kempapura,2,0,1,girls,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",5000,9000,
164,Amit Jain Nest #C6/76,newdelhi,vikaspuri,3,1,1,boys,semi_furnished,[],7500,15300,
165,BALANATHAN NEST,chennai,velachery,3,1,1,boys,fully_furnished,"['AC', 'Washing Machine', 'Fridge', 'Tv']",7500,15700,
166,Tanishka Home_ A 06,pune,siddarth nagar,2,0,1,girls,semi_furnished,[],9300,18600,
167,Manjunath Nest_107,bengaluru,battarahalli,1,0,1,boys,semi_furnished,[],6500,6500,
168,ASHA_T2,bengaluru,banashankari stage 3,4,0,2,boys,semi_furnished,['Security'],5000,10000,
169,"Raghavendra Prasad Nest, # 1066",bengaluru,banashankari stage 2,10,0,5,any,semi_furnished,[],5600,11200,
170,Narendra Nest F07,hyderabad,,1,1,1,boys,semi_furnished,[],10000,10000,
171,Atharva Garden Society_A 101,pune,kharadi,2,0,2,any,unfurnished,['Security'],17500,17500,
172,"404,Club House",mumbai,goregaon east,1,0,1,any,semi_furnished,"['AC', 'Power Backup', 'Security']",27500,27500,
173,Rekha Nest 15,noida,sector 15,1,1,0,girls,fully_furnished,[],7000,14000,
174,Global Meadows Apartment ,bengaluru,nayanda halli,1,0,1,girls,fully_furnished,"['Power Backup', 'Security', 'Washing Machine', 'Fridge', 'Tv']",10000,10250,
175,JHA House,newdelhi,mahavir enclave,4,0,2,any,semi_furnished,['Power Backup'],3150,6300,
176,Pintu Agarwal Nest -307,bengaluru,hulimavu,2,0,1,boys,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",8000,16000,
177,SURYODAYA APARTMENTS 199/4,newdelhi,sector 12 dwarka,1,0,1,boys,fully_furnished,['Tv'],16100,16100,
178,Samajwadi Awas Yojna _6D,noida,sector 118,1,0,1,any,semi_furnished,[],10000,10000,
179,Nest house,newdelhi,new patel nagar,2,0,2,any,fully_furnished,[],12500,12500,
180,Shiddhant,indore,bhawrasla,3,0,3,any,unfurnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",4000,4000,
181,201-Sai Shivam,bengaluru,rmv stage 2,5,2,1,girls,fully_furnished,[],7550,13000,
182,Gulab bagh 1bhk,indore,baap jee nagar,1,0,1,any,unfurnished,[],12000,12000,
183,Keerthana kings Bliss,bengaluru,munekolala,2,1,1,boys,fully_furnished,[],9500,20000,
184,4 BHK Semi Furnished,gurugram,sector 72,4,0,4,any,semi_furnished,[],17000,17000,
185,Huma Abbas Nest_G2,bengaluru,banaswadi,2,0,2,girls,fully_furnished,"['Fridge', 'Tv']",15000,15000,
186,Rajiv Nest#1,mumbai,khar east,2,0,2,girls,fully_furnished,"['AC', 'Power Backup', 'Washing Machine', 'Fridge', 'Tv']",30000,30000,
187,Prabhavathi Meridian,bengaluru,doddathoguru,1,1,1,boys,fully_furnished,"['Power Backup', 'Security', 'Fridge']",10500,10500,
188,Bagavathekumar S1,chennai,thuraipakkam,5,1,2,boys,fully_furnished,['Security'],7150,15750,
189,Bratin Nest 201,hyderabad,habsiguda,5,0,3,any,semi_furnished,"['AC', 'Security', 'Washing Machine']",4050,4050,
190,HNR Apartment-304,bengaluru,mathikere,1,0,1,any,semi_furnished,[],10000,10000,
191,Prabhavathi Meridian,bengaluru,doddathoguru,1,1,1,boys,fully_furnished,"['Power Backup', 'Security', 'Fridge']",10500,10500,
192,Satish Nest 105,bengaluru,chikkabanavara,1,0,1,any,semi_furnished,[],7280,7280,
193,Amrendra House_2BHK,indore,sukhlia,2,0,2,any,unfurnished,[],4500,4500,
194,2502 Tower 23 Blue Ridge,pune,hinjawadi,1,1,0,girls,fully_furnished,['Security'],7405,15600,
195,J 103 Ashok Meadows,pune,hinjawadi,2,0,1,boys,fully_furnished,['Security'],6200,14000,
196,"411,Club",mumbai,goregaon east,3,0,3,any,semi_furnished,"['AC', 'Power Backup', 'Security']",22000,22000,
197,Mohana P Nest,bengaluru,doddathoguru,2,0,1,any,semi_furnished,['Security'],5200,10400,
198,Ashwani Sharma,mumbai,goregaon east,3,1,1,boys,fully_furnished,[],8300,16400,
199,Singh House sector 21A,gurugram,sector 21,3,1,1,boys,fully_furnished,[],10000,20000,
200,Green Peace Ajantha Nest,chennai,nolambur,6,0,3,any,semi_furnished,"['AC', 'Power Backup', 'Security']",5583,11166,
201,101 B Savoir Fair,pune,baner gaon,3,3,1,girls,fully_furnished,['Security'],7300,14800,
202,Alladin County 507,hyderabad,sanath nagar,1,1,0,boys,fully_furnished,['Security'],7150,15300,
203,V M Mansion 304,bengaluru,yelahanka,1,0,1,any,semi_furnished,[],7500,7500,
204,Rajbhawan Nest-301,bengaluru,jp nagar phase 2,2,0,2,any,semi_furnished,[],19000,19000,
205,Balaji Homes,chennai,perungalattur,2,0,2,boys,unfurnished,[],7250,7250,
206,Laxmi classic nest,pune,vishrantwadi,2,0,2,any,fully_furnished,"['Security', 'Washing Machine', 'Fridge', 'Tv']",12700,12700,
207,502 - Olive,bengaluru,arakere,1,0,1,boys,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",14800,15000,
208,KAMATH NEST,bengaluru,byatarayanapura,1,1,0,girls,fully_furnished,[],8000,17350,
209,Vijayalakshmi Castle,bengaluru,devarachikannahalli,3,3,0,girls,fully_furnished,[],6200,11500,
210,Lalani Grandeur Nest,mumbai,malad east,2,0,2,any,fully_furnished,[],45000,45000,
211,Sri Balaji Gulmohar township B-705,hyderabad,bachupally,6,0,3,any,semi_furnished,"['Gym', 'Security']",3350,6700,
212,3 BHK in paramount ragavendra akash,bengaluru,electronic city,1,1,0,boys,fully_furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",5400,10800,
213,SOWPARNIKA INDRAPRASTHA,bengaluru,devalapur,2,0,2,any,semi_furnished,"['Gym', 'Power Backup', 'Security']",12500,12500,
214,Durvankur Apartment_404,pune,bhosari,2,0,2,any,unfurnished,['Security'],10500,10500,
215,S Ranganathan_304,bengaluru,banashankari stage 3,2,0,1,boys,semi_furnished,[],4600,9200,
216,006-SLV Spring,bengaluru,thanisandra,1,1,0,boys,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",6000,12000,
217,Coconut Grove Annex G-003,bengaluru,domlur,3,0,1,boys,fully_furnished,['Security'],7000,18650,
218,Gayathri Nest 203,bengaluru,bettadasanapura,1,0,1,any,unfurnished,[],6600,6600,
219,Neeyat Kumar Nest,bengaluru,arakere,6,0,3,any,semi_furnished,[],5000,10000,
220,Sehrawat House,gurugram,sukhrali village,2,0,1,girls,fully_furnished,['Power Backup'],5050,10100,
221,Goodwill metropolis,pune,lohegaon,3,0,3,any,semi_furnished,"['Swimming Pool', 'Gym', 'Security']",11500,11500,
222,Pandey Nest Dwarka,newdelhi,laxmi vihar,4,0,2,any,unfurnished,[],3600,6600,
223,Bagavathekumar S1,chennai,thuraipakkam,5,1,2,boys,fully_furnished,['Security'],7150,15750,
224,URBAN LIVING-204,bengaluru,whitefield,1,0,1,any,fully_furnished,"['Washing Machine', 'Tv']",30000,30000,
225,shreepal  nagar D wing F 17,mumbai,borivali west,2,2,0,girls,fully_furnished,"['Power Backup', 'Security']",8500,16620,
226,RS  COMFORT NEST-005,bengaluru,mahadevapura,1,0,1,any,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",25000,25000,
227,1bhk 54 Vijay nagar,indore,scheme no 54,1,0,1,any,unfurnished,[],8500,8500,
228,TF 2 Sai Enclave,bengaluru,rajarajeshwari nagar,3,1,0,girls,fully_furnished,[],6900,11650,
229,Anu Nest - 2 BHK,newdelhi,janakpuri,2,0,1,girls,fully_furnished,['Fridge'],4500,9100,
230,Gosai Nest 402,newdelhi,sector 16a dwarka,3,0,3,any,semi_furnished,['Tv'],7000,7000,
231,001 Malika Nest,bengaluru,rr nagar,6,0,3,any,semi_furnished,[],3000,6000,
232,4BHK in Presidential Tower 1303,mumbai,ghatkopar west,2,1,1,girls,fully_furnished,[],16000,28000,
233,Sai Leela Apartment_401,pune,wakad,1,0,1,any,fully_furnished,"['Washing Machine', 'Fridge']",22000,22000,
234,SF04  Ramesh Nest,bengaluru,nandini layout,3,1,1,boys,fully_furnished,[],8650,18200,
235,Rakesh Almedia Nest,bengaluru,kacharakanahalli,1,1,0,boys,fully_furnished,[],7500,15000,
236,Kumar Papillon_ A3 -601,pune,sutarwadi,3,0,3,any,unfurnished,"['Swimming Pool', 'Gym', 'Security']",16200,16200,
237,Ashok House 35,noida,sector 35,6,0,3,boys,semi_furnished,"['Power Backup', 'Security']",2150,4300,
